table,column,role,cast,used_in_views,output_columns,fill_pct,n_distinct,exclusion_reason,note
gram_panchayat,gp_lgd_code,dim,varchar,view1_activity_lifecycle; view2_geo_month_cube; view3_gp_performance,gp_lgd_code,100.0,20,,the join spine of every view and the grain of views 2 and 3
gram_panchayat,gp_name,dim,varchar,view1_activity_lifecycle; view2_geo_month_cube; view3_gp_performance,gp_name,100.0,20,,
gram_panchayat,state_code,X-const,varchar,,,100.0,1,constant in this drop (Odisha only),staged for statewide continuity
gram_panchayat,state_name,X-const,varchar,,,100.0,1,constant in this drop (Odisha only),staged for statewide continuity
gram_panchayat,district_code,dim,varchar,view1_activity_lifecycle; view2_geo_month_cube; view3_gp_performance,district_code,100.0,9,,
gram_panchayat,zp_name,dim,varchar,view1_activity_lifecycle; view2_geo_month_cube; view3_gp_performance,district_name,100.0,9,,"renamed district_name, as v_activity does"
gram_panchayat,block_code,dim,varchar,view1_activity_lifecycle; view2_geo_month_cube; view3_gp_performance,block_code,100.0,16,,
gram_panchayat,block_name,dim,varchar,view1_activity_lifecycle; view2_geo_month_cube; view3_gp_performance,block_name,100.0,16,,
plan,plan_code,grain,varchar,,,100.0,204,"plan grain; view3 exposes the COUNT, not the code",n_plans
plan,gp_lgd_code,join,varchar,view3_gp_performance,,100.0,20,,attributes n_plans to a GP
plan,fiscal_year,dim,varchar,view3_gp_performance,fiscal_year,100.0,6,,one of the three sources of stg_fiscal_year_domain
plan,plan_type,dim,varchar,,,100.0,2,"Main/Supplementary is a plan-grain attribute; view3 is GP x FY, where a cell can hold both",CHECK 5 asserts the domain
plan,approval_date,temp,date,,,100.0,146,"non-null on all 204 rows, so is_approved is constant 1 here",CHECK 6 reads it via stg_plan.approval_date_ts
plan,plan_code_status,X-empty,varchar,,,0.0,0,always null (known generated placeholder) - §8.6,
planned_activity,activity_code,grain,varchar,view1_activity_lifecycle,activity_code,100.0,12704,,view1's grain; the unique_grain post-view check
planned_activity,plan_code,join,varchar,,,100.0,202,consumed by the plan FK check; no analytical role,
planned_activity,gp_lgd_code,join,varchar,view1_activity_lifecycle; view2_geo_month_cube; view3_gp_performance,,100.0,20,,consumed into the geography block
planned_activity,fiscal_year,dim,varchar,view1_activity_lifecycle; view3_gp_performance,fiscal_year,100.0,6,,CATEGORICAL in view1 - §5 routes temporal mining to view2
planned_activity,source_file,X-id,varchar,,,100.0,6,"ingestion provenance, no analytical role",
planned_activity,activity_type,decode-dim,varchar,view1_activity_lifecycle,activity_type_label,100.0,2,,dim_code variable activity_type
planned_activity,activity_name,join,varchar,,,100.0,2177,free text; feeds Ask's search_text only - §9.6,
planned_activity,activity_desc,join,varchar,,,100.0,11653,free text; feeds Ask's search_text only - §9.6,
planned_activity,focus_area,decode-dim,varchar,view1_activity_lifecycle,focus_area_name; theme,100.0,30,,also the join to dim_lsdg_theme
planned_activity,activity_for,decode-dim,varchar,view1_activity_lifecycle,activity_for_label,100.0,4,,
planned_activity,work_type,decode-dim,varchar,view1_activity_lifecycle,work_type_label,100.0,4,,code 142 has no description -> 'Unknown'
planned_activity,is_costless_activity,dim,varchar,view1_activity_lifecycle,is_costless,100.0,2,,0/1 raw; view1 exposes the Costed/Costless label (§2)
planned_activity,total_cost,meas,float,view1_activity_lifecycle; view3_gp_performance,total_cost; planned_cost,44.3,1033,,PLANNED basis; null <=> costless
planned_activity,operation_type,X-empty,varchar,,,2.7,7,97.3% null,
planned_activity,operation_remarks,X-empty,varchar,,,1.4,137,98.6% null,
planned_activity,output_type,decode-dim,varchar,view1_activity_lifecycle,output_type_label,100.0,8,,all 8 codes lack a dim_code description -> every label is 'Code 1NN'
planned_activity,activity_status,decode-dim,varchar,view1_activity_lifecycle,status_label,100.0,6,,carries the 'Buildings' mis-decode (13) and the tab-prefixed WORK COMPLETED (17) - §8.3
activity_expenditure,expenditure_id,grain,varchar,,,100.0,12730,expenditure grain; stg_exp_rollup collapses it to the activity,also the activity_voucher FK parent
activity_expenditure,activity_code,join,varchar,,,100.0,12724,20 codes have no planned_activity parent - the FK is deliberately NOT declared,
activity_expenditure,plan_code,join,varchar,,,100.0,204,redundant with planned_activity,
activity_expenditure,gp_lgd_code,join,varchar,,,100.0,20,redundant with planned_activity; FK-checked,
activity_expenditure,fiscal_year,dim,varchar,,,100.0,6,equals planned_activity.fiscal_year on every matched row; view1/view3 use the activity's,
activity_expenditure,s_no,X-id,varchar,,,100.0,431,source line number,
activity_expenditure,scheme_name,X-empty,varchar,,,17.7,5,82.3% null - superseded by sanctioned_scheme_name (§2),v_activity carries it; Discover does not
activity_expenditure,approved_cost_action_plan,meas,float,view1_activity_lifecycle,approved_cost_action_plan,44.4,1046,,
activity_expenditure,technical_approved_cost,meas,float,view1_activity_lifecycle,technical_approved_cost,17.3,620,,
activity_expenditure,admin_approved_cost,meas,float,view1_activity_lifecycle,admin_approved_cost,17.7,620,,also drives has_approval_cost_only (140 activities)
activity_expenditure,general,meas,float,view1_activity_lifecycle,gen_amount,17.5,616,,v_exp naming
